CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1982,"5,000",1.00,"5,000",1.00,"5,000",1.00,"5,000","6,829",45.4%,"11,829","10,030",66.7%,"15,030",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1983,500,1.00,500,1.00,500,1.00,500,"1,090",48.1%,"1,590","1,766",77.9%,"2,266",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1984,"1,000",1.00,"1,000",1.00,"1,000",1.00,"1,000","1,514",40.5%,"2,514","2,737",73.2%,"3,737",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1985,"15,000",1.00,"15,000",1.00,"15,000",1.00,"15,000","15,321",38.0%,"30,321","25,304",62.8%,"40,304",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1986,"10,000",1.00,"10,000",1.00,"10,000",1.00,"10,000","11,287",25.7%,"21,287","33,837",77.2%,"43,837",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1987,"2,000",1.00,"2,000",1.00,"2,000",1.00,"2,000","3,342",43.2%,"5,342","5,745",74.2%,"7,745",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1988,"2,000",1.00,"2,000",1.00,"2,000",1.00,"2,000","2,063",30.5%,"4,063","4,771",70.5%,"6,771",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1989,"5,000",1.00,"5,000",1.00,"5,000",1.00,"5,000","13,428",41.1%,"18,428","27,650",84.7%,"32,650",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1990,"4,000",1.00,"4,000",1.00,"4,000",1.00,"4,000","3,904",27.1%,"7,904","10,431",72.3%,"14,431",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1991,"3,000",1.00,"3,000",1.00,"3,000",1.00,"3,000","6,770",49.4%,"9,770","10,719",78.1%,"13,719",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1992,"4,500",1.00,"4,500",1.00,"4,500",1.00,"4,500","9,366",51.4%,"13,866","13,735",75.3%,"18,235",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1993,"8,150",1.00,"8,150",1.00,"8,150",1.00,"8,150","24,690",53.9%,"32,840","37,665",82.2%,"45,815",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1994,"3,875",1.00,"3,875",1.00,"3,875",1.00,"3,875","3,944",32.6%,"7,819","8,239",68.0%,"12,114",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1995,"1,035",1.00,"1,035",1.00,"1,035",1.00,"1,035","3,650",53.4%,"4,685","5,795",84.8%,"6,830",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1996,"1,543",1.00,"1,543",1.00,"1,543",1.00,"1,543","4,610",45.2%,"6,153","8,668",84.9%,"10,210",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1997,"3,000",1.00,"3,000",1.00,"3,000",1.00,"3,000","4,085",29.8%,"7,085","10,697",78.1%,"13,697",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1998,"8,190",1.00,"8,190",1.00,"8,190",1.00,"8,190","4,363",17.9%,"12,553","16,132",66.3%,"24,322",1.00,5.00,5.00,Damdochax,[LOOKUP CU],Sockeye Model,03
