CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-19-49,SX,Prudhomme,1954,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1955,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1956,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1957,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1958,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1959,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1960,"3,500",1.35,"4,708",1.00,"4,708",2.00,"9,416","1,525",13.4%,"10,941","1,984",17.4%,"11,400",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1961,"7,500",1.35,"10,089",1.00,"10,089",2.00,"20,178","3,829",15.9%,"24,006","3,971",16.4%,"24,149",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1962,"3,500",1.35,"4,708",1.00,"4,708",2.00,"9,416","1,804",15.7%,"11,220","2,063",18.0%,"11,479",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1963,"7,500",1.35,"10,089",1.00,"10,089",2.00,"20,178","1,867",8.2%,"22,045","2,501",11.0%,"22,679",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1964,"3,500",1.35,"4,708",1.00,"4,708",2.00,"9,416","1,704",15.0%,"11,121","1,981",17.4%,"11,397",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1965,"3,500",1.35,"4,708",1.00,"4,708",2.00,"9,416","1,202",10.9%,"10,618","1,631",14.8%,"11,048",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1966,"1,500",1.35,"2,018",1.00,"2,018",2.00,"4,036",981,19.3%,"5,017","1,039",20.5%,"5,075",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1967,"4,500",1.35,"6,053",1.00,"6,053",2.00,"12,107","2,988",19.1%,"15,095","3,512",22.5%,"15,618",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1968,"3,500",1.35,"4,708",1.00,"4,708",2.00,"9,416","2,185",18.6%,"11,602","2,339",19.9%,"11,755",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1969,"3,500",1.35,"4,708",1.00,"4,708",2.00,"9,416","1,664",14.8%,"11,081","1,840",16.3%,"11,257",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1970,"3,500",1.35,"4,708",1.00,"4,708",2.00,"9,416","1,778",15.8%,"11,194","1,857",16.5%,"11,273",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1971,"2,000",1.35,"2,690",1.00,"2,690",2.00,"5,381","1,130",17.3%,"6,511","1,170",17.9%,"6,551",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1972,"1,000",1.35,"1,345",1.00,"1,345",2.00,"2,690",544,16.5%,"3,234",603,18.3%,"3,293",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1973,"1,000",1.35,"1,345",1.00,"1,345",2.00,"2,690",646,19.1%,"3,337",690,20.4%,"3,380",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1974,500,1.35,673,1.00,673,2.00,"1,345",359,20.8%,"1,704",382,22.1%,"1,727",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1975,"1,000",1.35,"1,345",1.00,"1,345",2.00,"2,690",413,13.2%,"3,103",429,13.8%,"3,119",2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
