"SpeciesId","Species Name","CU","CU Name","Year","T_Idx_E","ExpFactor1","AdjSum","ExpFactor2","ObsE","ExpFactor3","TE","CDN Harvest","CDN ER","TRTC","Total Harvest","Total ER","Total Run","Q1","Q2","Q3"
"CM","Chum","CM_12","Smith Inlet",1954,20000,1.21437264881611,24287.4529763222,1.32347640589944,32143.8709735547,1.5,48215.806460332,29189.4322855999,0.377098924549651,77405.2387459319,29189.4322855999,0.377098924549651,77405.2387459319,2.4,4.11735228463396,3.77792907959093
"CM","Chum","CM_12","Smith Inlet",1955,4300,1.21437264881611,5221.80238990927,1.32347640589944,6910.93225931425,1.5,10366.3983889714,23899.3711105789,0.697470725439059,34265.7694995503,23899.3711105789,0.697470725439059,34265.7694995503,2.4,4.11735228463396,3.77792907959093
"CM","Chum","CM_12","Smith Inlet",1956,12000,1.21437264881611,14572.4717857933,1.32347640589944,19286.3225841328,1.5,28929.4838761992,12524.8316739366,0.302135773024374,41454.3155501358,12524.8316739366,0.302135773024374,41454.3155501358,2.4,4.11735228463396,3.77792907959093
"CM","Chum","CM_12","Smith Inlet",1957,12500,1.21437264881611,15179.6581102014,1.32347640589944,20089.9193584717,1.5,30134.8790377075,24754.8019505423,0.450991907856807,54889.6809882498,24754.8019505423,0.450991907856807,54889.6809882498,2.4,4.11735228463396,3.77792907959093
"CM","Chum","CM_12","Smith Inlet",1958,38000,1.21437264881611,46146.1606550122,1.32347640589944,61073.3548497539,1.5,91610.0322746308,17032.0666208148,0.156772253058237,108642.098895446,17032.0666208148,0.156772253058237,108642.098895446,2.4,4.11735228463396,3.77792907959093
"CM","Chum","CM_12","Smith Inlet",1959,11750,1.21437264881611,14268.8786235893,1.32347640589944,18884.5241969634,1.5,28326.7862954451,12387.1351420609,0.304248146695341,40713.921437506,12387.1351420609,0.304248146695341,40713.921437506,2.4,4.11735228463396,3.77792907959093
"CM","Chum","CM_12","Smith Inlet",1960,12500,1.21437264881611,15179.6581102014,1.61590628853268,24528.9049980504,1.5,36793.3574970756,21435.1748011351,0.368121502554062,58228.5322982107,21435.1748011351,0.368121502554062,58228.5322982107,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1961,7750,1.21437264881611,9411.38802832485,1.61590628853268,15207.9210987913,1.5,22811.8816481869,14716.7178163956,0.392146736791616,37528.5994645825,14716.7178163956,0.392146736791616,37528.5994645825,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1962,16500,1.21437264881611,20037.1487054658,1.61590628853268,32378.1545974266,1.5,48567.2318961399,24868.4539869344,0.33864263250064,73435.6858830742,24868.4539869344,0.33864263250064,73435.6858830742,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1963,23250,1.21437264881611,28234.1640849746,1.61590628853268,45623.7632963738,1.5,68435.6449445607,34456.2435073603,0.334878133016879,102891.888451921,34456.2435073603,0.334878133016879,102891.888451921,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1964,22900,1.21437264881611,27809.1336578889,1.61590628853268,44936.9539564284,1.5,67405.4309346426,48461.8328702568,0.418253018832465,115867.263804899,48461.8328702568,0.418253018832465,115867.263804899,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1965,1600,1.21437264881611,1942.99623810578,1.61590628853268,3139.69983975045,1.5,4709.54975962568,11333.7424430172,0.706447423624818,16043.2922026429,11333.7424430172,0.706447423624818,16043.2922026429,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1966,500,1.21437264881611,607.186324408055,1.61590628853268,981.156199922017,1.5,1471.73429988303,1406.89209981713,0.488737301917218,2878.62639970016,1406.89209981713,0.488737301917218,2878.62639970016,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1967,15425,1.21437264881611,18731.6981079885,1.61590628853268,30268.6687675942,1.5,45403.0031513913,24536.4793563123,0.350824433875524,69939.4825077036,24536.4793563123,0.350824433875524,69939.4825077036,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1968,18575,1.21437264881611,22556.9719517592,1.61590628853268,36449.9528271029,1.5,54674.9292406544,80578.9562656356,0.595760749970383,135253.88550629,80578.9562656356,0.595760749970383,135253.88550629,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1969,2650,1.21437264881611,3218.08751936269,1.61590628853268,5200.12785958669,1.5,7800.19178938004,33984.7522892795,0.81332530265695,41784.9440786596,33984.7522892795,0.81332530265695,41784.9440786596,2.4,4.11735228463396,3.09423884013735
"CM","Chum","CM_12","Smith Inlet",1970,22500,1.30598524512137,29384.6680152308,1.23041512427287,36155.3399476773,1.5,54233.009921516,94687.4084830562,0.635825560372916,148920.418404572,94687.4084830562,0.635825560372916,148920.418404572,2.4,3.82852717416063,4.06366916446578
"CM","Chum","CM_12","Smith Inlet",1971,11500,1.21437264881611,13965.2854613853,1.23041512427287,17183.0984464765,1.5,25774.6476697147,12664.4466807713,0.32946787365221,38439.094350486,12664.4466807713,0.32946787365221,38439.094350486,2.4,4.11735228463396,4.06366916446578
"CM","Chum","CM_12","Smith Inlet",1972,45500,1.21437264881611,55253.955521133,1.23041512427287,67985.3025491026,1.5,101977.953823654,43463.0650566217,0.298836362611017,145441.018880276,43463.0650566217,0.298836362611017,145441.018880276,2.4,4.11735228463396,4.06366916446578
"CM","Chum","CM_12","Smith Inlet",1973,67000,1.21437264881611,81362.9674706794,1.23041512427287,100110.225731646,1.5,150165.338597468,93024.726758316,0.382518614081632,243190.065355784,93024.726758316,0.382518614081632,243190.065355784,2.4,4.11735228463396,4.06366916446578
"CM","Chum","CM_12","Smith Inlet",1974,27500,1.21437264881611,33395.247842443,1.23041512427287,41090.0180241829,1.5,61635.0270362743,23377.4061810332,0.274988084640234,85012.4332173075,23377.4061810332,0.274988084640234,85012.4332173075,2.4,4.11735228463396,4.06366916446578
