"SpeciesId","Species Name","StatArea","Year","T_Idx_E","ExpFactor1","AdjSum","ExpFactor2","ObsE","ExpFactor3","TE","CDN Harvest","CDN ER","TRTC","Total Harvest","Total ER","Total Run","Q1","Q2","Q3"
"CM","Chum","01",1954,125000,1.00306877340396,125383.596675495,1.03362136470417,129599.164307243,1.5,194398.746460864,33372,0.146515742335393,227770.746460864,33372,0.146515742335393,227770.746460864,2.25,4.98470307577441,4.83736131115193
"CM","Chum","01",1955,22500,2.27996678430558,51299.2526468756,1.03362136470417,53024.0035291675,1.5,79536.0052937513,6702,0.0777151555995651,86238.0052937513,6702,0.0777151555995651,86238.0052937513,2.25,2.19301440460365,4.83736131115193
"CM","Chum","01",1956,3500,5.58342653787494,19541.9928825623,1.03362136470417,20199.0213523132,1.5,30298.5320284697,17426,0.365137158172754,47724.5320284697,17426,0.365137158172754,47724.5320284697,2.25,0.895507439039936,4.83736131115193
"CM","Chum","01",1957,145200,1,145200,1.03362136470417,150081.822155045,1.5,225122.733232568,56541,0.200739368718494,281663.733232568,56541,0.200739368718494,281663.733232568,2.25,5,4.83736131115193
"CM","Chum","01",1958,23100,1,23100,1.03362136470417,23876.6535246663,1.5,35814.9802869994,8882,0.198715885121739,44696.9802869994,8882,0.198715885121739,44696.9802869994,2.25,5,4.83736131115193
"CM","Chum","01",1959,18500,1.00306877340396,18556.7723079733,1.03362136470417,19180.6763174719,1.5,28771.0144762079,1945,0.0633220172983889,30716.0144762079,1945,0.0633220172983889,30716.0144762079,2.25,4.98470307577441,4.83736131115193
"CM","Chum","01",1960,14700,1,14700,1.00979595309586,14844.0005105091,1.5,22266.0007657637,1862,0.0771717482138876,24128.0007657637,1862,0.0771717482138876,24128.0007657637,2.25,5,4.95149538346918
"CM","Chum","01",1961,26025,1,26025,1.00979595309586,26279.9396793197,1.5,39419.9095189795,820,0.0203777794185456,40239.9095189795,820,0.0203777794185456,40239.9095189795,2.25,5,4.95149538346918
"CM","Chum","01",1962,14575,1,14575,1.00979595309586,14717.7760163721,1.5,22076.6640245582,2984,0.119071066795191,25060.6640245582,2984,0.119071066795191,25060.6640245582,2.25,5,4.95149538346918
"CM","Chum","01",1963,10500,1.00969879477215,10601.8373451075,1.00979595309586,10705.6924464701,1.5,16058.5386697052,4186,0.206771814774131,20244.5386697052,4186,0.206771814774131,20244.5386697052,2.25,4.95197184139288,4.95149538346918
"CM","Chum","01",1964,95000,1,95000,1.00979595309586,95930.6155441064,1.5,143895.92331616,13615,0.0864384495586484,157510.92331616,13615,0.0864384495586484,157510.92331616,2.25,5,4.95149538346918
"CM","Chum","01",1965,161575,1,161575,1.00979595309586,163157.781121463,1.5,244736.671682195,10017,0.0393203361264846,254753.671682195,10017,0.0393203361264846,254753.671682195,2.25,5,4.95149538346918
"CM","Chum","01",1966,93700,1,93700,1.00979595309586,94617.8808050818,1.5,141926.821207623,21172,0.129810870754537,163098.821207623,21172,0.129810870754537,163098.821207623,2.25,5,4.95149538346918
"CM","Chum","01",1967,31575,1,31575,1.00979595309586,31884.3072190017,1.5,47826.4608285025,24266,0.336595529145902,72092.4608285025,24266,0.336595529145902,72092.4608285025,2.25,5,4.95149538346918
"CM","Chum","01",1968,37500,1.00969879477215,37863.7048039555,1.00979595309586,38234.6158802504,1.5,57351.9238203756,24530,0.299577719422073,81881.9238203756,24530,0.299577719422073,81881.9238203756,2.25,4.95197184139288,4.95149538346918
"CM","Chum","01",1969,45000,1.00969879477215,45436.4457647466,1.00979595309586,45881.5390563005,1.5,68822.3085844507,36125,0.344220356741501,104947.308584451,36125,0.344220356741501,104947.308584451,2.25,4.95197184139288,4.95149538346918
"CM","Chum","01",1970,24000,1,24000,1.16269945314256,27904.7868754214,1.5,41857.1803131321,32830,0.439566735045527,74687.1803131321,32830,0.439566735045527,74687.1803131321,2.25,5,4.30033744875853
"CM","Chum","01",1971,44500,1,44500,1.16269945314256,51740.1256648438,1.5,77610.1884972657,36421,0.319395074978749,114031.188497266,36421,0.319395074978749,114031.188497266,2.25,5,4.30033744875853
"CM","Chum","01",1972,8500,1,8500,1.16269945314256,9882.94535171174,1.5,14824.4180275676,49324,0.768904386368548,64148.4180275676,49324,0.768904386368548,64148.4180275676,2.25,5,4.30033744875853
"CM","Chum","01",1973,39000,1,39000,1.16269945314256,45345.2786725597,1.5,68017.9180088396,53450,0.44003388611724,121467.91800884,53450,0.44003388611724,121467.91800884,2.25,5,4.30033744875853
