"Stock_Name","Stock_Species","Stock_Abundance","Forecasting_Year","Run_Year","Brood_Year","Age_Class","Average_Terminal_Run"
"Meziadin","Sockeye","Terminal Run","2001",1995,1992,"3",27247.0550887767
"","","","",1995,1991,"4",442411.105255612
"","","","",1995,1990,"5",380473.550373895
"","","","",1995,1989,"6",61937.5548817167
"","","","",1996,1993,"3",8413.4967916373
"","","","",1996,1992,"4",62922.2776236866
"","","","",1996,1991,"5",782034.025134759
"","","","",1996,1990,"6",53933.3809499175
"","","","",1997,1994,"3",5960.5710069674
"","","","",1997,1993,"4",183228.77176056
"","","","",1997,1992,"5",323704.163504718
"","","","",1997,1991,"6",97722.0117277551
"","","","",1998,1995,"3",17085.213672097
"","","","",1998,1994,"4",100733.664339534
"","","","",1998,1993,"5",311358.598953175
"","","","",1998,1992,"6",41209.2262351936
"","","","",1999,1996,"3",18028.8039244624
"","","","",1999,1995,"4",230640.98511812
"","","","",1999,1994,"5",476162.033891534
"","","","",1999,1993,"6",44640.1909658834
"","","","",2000,1997,"3",3382.40653237456
"","","","",2000,1996,"4",98169.7047302103
"","","","",2000,1995,"5",213412.401998916
"","","","",2000,1994,"6",115242.696838499
"","","","",2002,1999,"3",12237.2201069218
"","","","",2002,1998,"4",513403.660580016
"","","","",2002,1997,"5",569208.40666317
"","","","",2002,1996,"6",33482.8476498921
"","","","",2003,2000,"3",31012.0288397817
"","","","",2003,1999,"4",166019.656270603
"","","","",2003,1998,"5",529681.76075626
"","","","",2003,1997,"6",94868.3750117731
"","","","",2004,2001,"3",13114.6150607974
"","","","",2004,2000,"4",182765.503944712
"","","","",2004,1999,"5",430804.402579242
"","","","",2004,1998,"6",32636.6970152484
"","","","",2005,2002,"3",32639.4239750971
"","","","",2005,2001,"4",63126.7045180019
"","","","",2005,2000,"5",252506.81847598
"","","","",2005,1999,"6",55700.0333269476
"","","","",2006,2003,"3",5182.04957050975
"","","","",2006,2002,"4",75481.3467552319
"","","","",2006,2001,"5",234830.856241648
"","","","",2006,2000,"6",109028.61193261
"","","","",2007,2004,"3",15247.0356915466
"","","","",2007,2003,"4",19776.0234247297
"","","","",2007,2002,"5",272909.121207432
"","","","",2007,2001,"6",102835.320987059
"","","","",2008,2005,"3",5243.419702541
"","","","",2008,2004,"4",64243.5300975562
"","","","",2008,2003,"5",176669.707904742
"","","","",2008,2002,"6",26768.1374951609
"","","","",2009,2006,"3",28926.6870662594
"","","","",2009,2005,"4",41372.0414403517
"","","","",2009,2004,"5",285843.196032031
"","","","",2009,2003,"6",48894.2307563214
"","","","",2010,2007,"3",8148.4135574263
"","","","",2010,2006,"4",69511.5399373689
"","","","",2010,2005,"5",196949.363301872
"","","","",2010,2004,"6",17377.8849113454
"","","","",2011,2008,"3",9151.93118529755
"","","","",2011,2007,"4",102602.378338978
"","","","",2011,2006,"5",185966.810576109
"","","","",2011,2005,"6",28856.9188261931
"","","","",2012,2009,"3",3800.97137539956
"","","","",2012,2008,"4",53006.9466634859
"","","","",2012,2007,"5",205401.91864285
"","","","",2012,2006,"6",59632.8149964216
"","","","",2013,2010,"3",27905.4372939171
"","","","",2013,2009,"4",125843.191014575
"","","","",2013,2008,"5",202111.791751172
"","","","",2013,2007,"6",45761.1604419583
"","","","",2014,2011,"3",19649.5438689282
"","","","",2014,2010,"4",74456.1686994374
"","","","",2014,2009,"5",157847.077654434
"","","","",2014,2008,"6",38717.2076772003
"","","","",2015,2012,"3",5744.79954282514
"","","","",2015,2011,"4",169164.14966992
"","","","",2015,2010,"5",173393.253263119
"","","","",2015,2009,"6",76123.8672241361
"","","","",2016,2013,"3",1670.31891087253
"","","","",2016,2012,"4",37907.8516815766
"","","","",2016,2011,"5",111918.435294216
"","","","",2016,2010,"6",25271.9070133348
"","","","",2017,2014,"3",6813.22735576745
"","","","",2017,2013,"4",50184.874687255
"","","","",2017,2012,"5",90718.817072804
"","","","",2017,2011,"6",38603.7483978528
"","","","",2018,2015,"3",8628.187533441
"","","","",2018,2014,"4",62865.641424672
"","","","",2018,2013,"5",54293.05518015
"","","","",2018,2012,"6",11430.115861737
"","","","",2019,2016,"3",5481.788564914
"","","","",2019,2015,"4",66866.570897414
"","","","",2019,2014,"5",49035.479714609
"","","","",2019,2013,"6",16345.160823063
"","","","",2020,2017,"3",3323.768060736
"","","","",2020,2016,"4",59830.152762816
"","","","",2020,2015,"5",101529.939567456
"","","","",2020,2014,"6",7252.139608992
"","","","",2021,2018,"3",17894.70855284
"","","","",2021,2017,"4",187708.9844756
"","","","",2021,2016,"5",160405.86309328
"","","","",2021,2015,"6",25710.44427
"","","","",2022,2019,"3",23328.669041585
"","","","",2022,2018,"4",243805.96223544
"","","","",2022,2017,"5",186888.60691129
"","","","",2022,2016,"6",26991.76133067
"","","","",2023,2020,"3",39161.52426315
"","","","",2023,2019,"4",248665.259954644
"","","","",2023,2018,"5",234813.964520162
"","","","",2023,2017,"6",40121.251262044
"","","","",2024,2021,"3",15817.3518007841
"","","","",2024,2020,"4",339929.645676822
"","","","",2024,2019,"5",326901.844950371
"","","","",2024,2018,"6",53347.2583080192
