"Stock_Name","Stock_Species","Stock_Abundance","Forecasting_Year","Run_Year","Brood_Year","Age_Class","Average_Terminal_Run"
"Meziadin","Sockeye","Terminal Run","2012",1982,1979,"3",1
"","","","",1982,1978,"4",54605.180816
"","","","",1982,1977,"5",573354.398568
"","","","",1982,1976,"6",54605.180816
"","","","",1983,1980,"3",5614.64657694392
"","","","",1983,1979,"4",127532.681888944
"","","","",1983,1978,"5",318965.386324104
"","","","",1983,1977,"6",55700.8568743493
"","","","",1984,1981,"3",1
"","","","",1984,1980,"4",35213.327541
"","","","",1984,1979,"5",289531.804226
"","","","",1984,1978,"6",66514.063133
"","","","",1985,1982,"3",1
"","","","",1985,1981,"4",203035.46928
"","","","",1985,1980,"5",323587.779165
"","","","",1985,1979,"6",114207.45147
"","","","",1986,1983,"3",1
"","","","",1986,1982,"4",38449.451062
"","","","",1986,1981,"5",213219.683162
"","","","",1986,1980,"6",97871.329976
"","","","",1987,1984,"3",1
"","","","",1987,1983,"4",59072.257455
"","","","",1987,1982,"5",291423.136778
"","","","",1987,1981,"6",43319.655467
"","","","",1988,1985,"3",1
"","","","",1988,1984,"4",41886.021827
"","","","",1988,1983,"5",264204.137678
"","","","",1988,1982,"6",16110.008395
"","","","",1989,1986,"3",1
"","","","",1989,1985,"4",36221.689692
"","","","",1989,1984,"5",86529.592042
"","","","",1989,1983,"6",78480.327666
"","","","",1990,1987,"3",1
"","","","",1990,1986,"4",62021.812442
"","","","",1990,1985,"5",221972.802424
"","","","",1990,1984,"6",42435.976934
"","","","",1991,1988,"3",1
"","","","",1991,1987,"4",378600.603538
"","","","",1991,1986,"5",386831.051441
"","","","",1991,1985,"6",57613.135321
"","","","",1992,1989,"3",1
"","","","",1992,1988,"4",812446.85984
"","","","",1992,1987,"5",923235.068
"","","","",1992,1986,"6",110788.20816
"","","","",1993,1990,"3",1
"","","","",1993,1989,"4",550859.81181
"","","","",1993,1988,"5",1001563.2942
"","","","",1993,1987,"6",116849.05099
"","","","",1994,1991,"3",1
"","","","",1994,1990,"4",61288.25703
"","","","",1994,1989,"5",332707.68102
"","","","",1994,1988,"6",43777.32645
"","","","",1995,1992,"3",1
"","","","",1995,1991,"4",456034.6328
"","","","",1995,1990,"5",392189.784208
"","","","",1995,1989,"6",63844.848592
"","","","",1996,1993,"3",1
"","","","",1996,1992,"4",63511.222635
"","","","",1996,1991,"5",789353.767035
"","","","",1996,1990,"6",54438.19083
"","","","",1997,1994,"3",1
"","","","",1997,1993,"4",183184.6554
"","","","",1997,1992,"5",323626.22454
"","","","",1997,1991,"6",97698.48288
"","","","",1998,1995,"3",1
"","","","",1998,1994,"4",103485.074704
"","","","",1998,1993,"5",319862.958176
"","","","",1998,1992,"6",42334.803288
"","","","",1999,1996,"3",1
"","","","",1999,1995,"4",238536.324309
"","","","",1999,1994,"5",492462.088896
"","","","",1999,1993,"6",46168.320834
"","","","",2000,1997,"3",1
"","","","",2000,1996,"4",98947.658323
"","","","",2000,1995,"5",215103.60505
"","","","",2000,1994,"6",116155.946727
"","","","",2001,1998,"3",1
"","","","",2001,1997,"4",120134.16478
"","","","",2001,1996,"5",171620.2354
"","","","",2001,1995,"6",137296.18832
"","","","",2002,1999,"3",1
"","","","",2002,1998,"4",519032.7821
"","","","",2002,1997,"5",575449.38885
"","","","",2002,1996,"6",33849.96405
"","","","",2003,2000,"3",1
"","","","",2003,1999,"4",172532.182557
"","","","",2003,1998,"5",550459.820539
"","","","",2003,1997,"6",98589.818604
"","","","",2004,2001,"3",1
"","","","",2004,2000,"4",184609.941208
"","","","",2004,1999,"5",435152.004276
"","","","",2004,1998,"6",32966.06093
"","","","",2005,2002,"3",1
"","","","",2005,2001,"4",68675.406719
"","","","",2005,2000,"5",274701.626876
"","","","",2005,1999,"6",60595.947105
"","","","",2006,2003,"3",1
"","","","",2006,2002,"4",76414.11561
"","","","",2006,2001,"5",237732.80412
"","","","",2006,2000,"6",110375.94477
"","","","",2007,2004,"3",1
"","","","",2007,2003,"4",20538.375045
"","","","",2007,2002,"5",283429.575621
"","","","",2007,2001,"6",106799.550234
"","","","",2008,2005,"3",1
"","","","",2008,2004,"4",65501.950848
"","","","",2008,2003,"5",180130.364832
"","","","",2008,2002,"6",27292.47952
"","","","",2009,2006,"3",1
"","","","",2009,2005,"4",44553.977127
"","","","",2009,2004,"5",307827.478332
"","","","",2009,2003,"6",52654.700241
"","","","",2010,2007,"3",8759.61606
"","","","",2010,2006,"4",70076.92848
"","","","",2010,2005,"5",198551.29736
"","","","",2010,2004,"6",17519.23212
"","","","",2011,2008,"3",3265.780386
"","","","",2011,2007,"4",104504.972352
"","","","",2011,2006,"5",189415.262388
"","","","",2011,2005,"6",29392.023474
"","","","",2013,2010,"3",8032.431602
"","","","",2013,2009,"4",132535.121433
"","","","",2013,2008,"5",212859.437453
"","","","",2013,2007,"6",48194.589612
"","","","",2014,2011,"3",26160.299811
"","","","",2014,2010,"4",72667.499475
"","","","",2014,2009,"5",154055.098887
"","","","",2014,2008,"6",37787.099727
"","","","",2015,2012,"3",4244.260697
"","","","",2015,2011,"4",169770.42788
"","","","",2015,2010,"5",174014.688577
"","","","",2015,2009,"6",76396.692546
"","","","",2016,2013,"3",7070.740516
"","","","",2016,2012,"4",37121.387709
"","","","",2016,2011,"5",109596.477998
"","","","",2016,2010,"6",24747.591806
"","","","",2017,2014,"3",13042.446739
"","","","",2017,2013,"4",48443.373602
"","","","",2017,2012,"5",87570.713819
"","","","",2017,2011,"6",37264.13354
"","","","",2018,2015,"3",13721.7
"","","","",2018,2014,"4",60375.48
"","","","",2018,2013,"5",52142.46
"","","","",2018,2012,"6",10977.36
"","","","",2019,2016,"3",15150.19
"","","","",2019,2015,"4",61978.05
"","","","",2019,2014,"5",45450.57
"","","","",2019,2013,"6",15150.19
"","","","",2020,2017,"3",12035.52
"","","","",2020,2016,"4",56738.88
"","","","",2020,2015,"5",96284.16
"","","","",2020,2014,"6",6877.44
"","","","",2021,2018,"3",100104.25008612
"","","","",2021,2017,"4",146429.08940716
"","","","",2021,2016,"5",125130.31250972
"","","","",2021,2015,"6",20056.347997
"","","","",2022,2019,"3",52224.485920435
"","","","",2022,2018,"4",228413.408640145
"","","","",2022,2017,"5",175089.46
"","","","",2022,2016,"6",25287.645920435
"","","","",2023,2020,"3",72497.4769928
"","","","",2023,2019,"4",232833.5482032
"","","","",2023,2018,"5",219864.1351512
"","","","",2023,2017,"6",37566.86216328
"","","","",2024,2021,"3",99057.19990173
"","","","",2024,2020,"4",300639.83412722
"","","","",2024,2019,"5",289117.81518172
"","","","",2024,2018,"6",47181.265509252
