AgeComp,runyear,RunAge3,RunAge4,RunAge5,RunAge6,RunAge7,Total
MeziadinAnnual,1995,0.029873888,0.485063056,0.417154228,0.067908828,0,1
MeziadinAnnual,1996,0.009273082,0.069350884,0.861932419,0.059443615,0,1
MeziadinAnnual,1997,0.009761578,0.300072249,0.53012764,0.160038533,0,1
MeziadinAnnual,1998,0.036321634,0.214150748,0.661920494,0.087607124,0,1
MeziadinAnnual,1999,0.023430097,0.299739277,0.618816572,0.058014054,0,1
MeziadinAnnual,2000,0.007862273,0.228191677,0.496068864,0.267877186,0,1
MeziadinAnnual,2001,0.132021066,0.243034102,0.347191574,0.277753259,0,1
MeziadinAnnual,2002,0.010845406,0.455011113,0.504468843,0.029674638,0,1
MeziadinAnnual,2003,0.037746732,0.202073186,0.644709689,0.115470392,0,1
MeziadinAnnual,2004,0.019891086,0.277202521,0.653405943,0.04950045,0,1
MeziadinAnnual,2005,0.080796057,0.15626467,0.625058681,0.137880591,0,1
MeziadinAnnual,2006,0.012206762,0.177802783,0.553164213,0.256826242,0,1
MeziadinAnnual,2007,0.037118408,0.04814408,0.664388299,0.250349214,0,1
MeziadinAnnual,2008,0.019211958,0.23538913,0.647320108,0.098078804,0,1
MeziadinAnnual,2009,0.071417543,0.10214407,0.705722667,0.120715719,0,1
MeziadinAnnual,2010,0.027906749,0.238063653,0.674513684,0.059515913,0,1
MeziadinAnnual,2011,0.028023719,0.314174152,0.56944065,0.08836148,0,1
MeziadinAnnual,2012,0.01181003,0.164698328,0.638206022,0.185285619,0,1
MeziadinAnnual,2013,0.069481917,0.313337722,0.503239372,0.11394099,0,1
MeziadinAnnual,2014,0.067600867,0.256153608,0.543045649,0.133199876,0,1
MeziadinAnnual,2015,0.013535454,0.398571534,0.408535822,0.17935719,0,1
MeziadinAnnual,2016,0.009449188,0.214449118,0.633135582,0.142966112,0,1
MeziadinAnnual,2017,0.036567212,0.269346795,0.486896157,0.207189835,0,1
MeziadinAnnual,2018,0.062879873,0.458147616,0.39567295,0.083299561,0,1
MeziadinAnnual,2019,0.039801266,0.485493766,0.356028721,0.118676247,0,1
MeziadinAnnual,2020,0.019331426,0.347979206,0.590510071,0.042179297,0,1
MeziadinAnnual,2021,0.045682397,0.47919173,0.409491124,0.06563475,0,1
MeziadinAnnual,2022,0.048498839,0.506857296,0.388529686,0.056114178,0,1
MeziadinAnnual,2023,0.069588075,0.441865762,0.417252701,0.071293462,0,1
MeziadinAnnual,2024,0.021491081,0.461863379,0.444162469,0.072483072,0,1
