"Stock_Name","Stock_Species","Stock_Abundance","Forecasting_Year","Run_Year","Brood_Year","Age_Class","Average_Terminal_Run"
"Meziadin","Sockeye","Terminal Run","2024",1954,1951,"3",0
"","","","",1954,1950,"4",0
"","","","",1954,1949,"5",0
"","","","",1954,1948,"6",0
"","","","",1955,1952,"3",0
"","","","",1955,1951,"4",0
"","","","",1955,1950,"5",0
"","","","",1955,1949,"6",0
"","","","",1956,1953,"3",0
"","","","",1956,1952,"4",0
"","","","",1956,1951,"5",0
"","","","",1956,1950,"6",0
"","","","",1957,1954,"3",0
"","","","",1957,1953,"4",0
"","","","",1957,1952,"5",0
"","","","",1957,1951,"6",0
"","","","",1958,1955,"3",0
"","","","",1958,1954,"4",0
"","","","",1958,1953,"5",0
"","","","",1958,1952,"6",0
"","","","",1959,1956,"3",0
"","","","",1959,1955,"4",0
"","","","",1959,1954,"5",0
"","","","",1959,1953,"6",0
"","","","",1960,1957,"3",0
"","","","",1960,1956,"4",0
"","","","",1960,1955,"5",0
"","","","",1960,1954,"6",0
"","","","",1961,1958,"3",0
"","","","",1961,1957,"4",0
"","","","",1961,1956,"5",0
"","","","",1961,1955,"6",0
"","","","",1962,1959,"3",0
"","","","",1962,1958,"4",0
"","","","",1962,1957,"5",0
"","","","",1962,1956,"6",0
"","","","",1963,1960,"3",0
"","","","",1963,1959,"4",0
"","","","",1963,1958,"5",0
"","","","",1963,1957,"6",0
"","","","",1964,1961,"3",0
"","","","",1964,1960,"4",0
"","","","",1964,1959,"5",0
"","","","",1964,1958,"6",0
"","","","",1965,1962,"3",0
"","","","",1965,1961,"4",0
"","","","",1965,1960,"5",0
"","","","",1965,1959,"6",0
"","","","",1966,1963,"3",0
"","","","",1966,1962,"4",0
"","","","",1966,1961,"5",0
"","","","",1966,1960,"6",0
"","","","",1967,1964,"3",0
"","","","",1967,1963,"4",0
"","","","",1967,1962,"5",0
"","","","",1967,1961,"6",0
"","","","",1968,1965,"3",0
"","","","",1968,1964,"4",0
"","","","",1968,1963,"5",0
"","","","",1968,1962,"6",0
"","","","",1969,1966,"3",0
"","","","",1969,1965,"4",0
"","","","",1969,1964,"5",0
"","","","",1969,1963,"6",0
"","","","",1970,1967,"3",0
"","","","",1970,1966,"4",0
"","","","",1970,1965,"5",0
"","","","",1970,1964,"6",0
"","","","",1971,1968,"3",0
"","","","",1971,1967,"4",0
"","","","",1971,1966,"5",0
"","","","",1971,1965,"6",0
"","","","",1972,1969,"3",0
"","","","",1972,1968,"4",0
"","","","",1972,1967,"5",0
"","","","",1972,1966,"6",0
"","","","",1973,1970,"3",0
"","","","",1973,1969,"4",0
"","","","",1973,1968,"5",0
"","","","",1973,1967,"6",0
"","","","",1974,1971,"3",0
"","","","",1974,1970,"4",0
"","","","",1974,1969,"5",0
"","","","",1974,1968,"6",0
"","","","",1975,1972,"3",0
"","","","",1975,1971,"4",0
"","","","",1975,1970,"5",0
"","","","",1975,1969,"6",0
"","","","",1976,1973,"3",0
"","","","",1976,1972,"4",0
"","","","",1976,1971,"5",0
"","","","",1976,1970,"6",0
"","","","",1977,1974,"3",0
"","","","",1977,1973,"4",0
"","","","",1977,1972,"5",0
"","","","",1977,1971,"6",0
"","","","",1978,1975,"3",0
"","","","",1978,1974,"4",0
"","","","",1978,1973,"5",0
"","","","",1978,1972,"6",0
"","","","",1979,1976,"3",0
"","","","",1979,1975,"4",0
"","","","",1979,1974,"5",0
"","","","",1979,1973,"6",0
"","","","",1980,1977,"3",0
"","","","",1980,1976,"4",0
"","","","",1980,1975,"5",0
"","","","",1980,1974,"6",0
"","","","",1981,1978,"3",0
"","","","",1981,1977,"4",0
"","","","",1981,1976,"5",0
"","","","",1981,1975,"6",0
"","","","",1982,1979,"3",0
"","","","",1982,1978,"4",0
"","","","",1982,1977,"5",0
"","","","",1982,1976,"6",0
"","","","",1982,1979,"3",0
"","","","",1982,1978,"4",54605.180816
"","","","",1982,1977,"5",573354.398568
"","","","",1982,1976,"6",54605.180816
"","","","",1983,1980,"3",0
"","","","",1983,1979,"4",0
"","","","",1983,1978,"5",0
"","","","",1983,1977,"6",0
"","","","",1983,1980,"3",5614.64657694392
"","","","",1983,1979,"4",127532.681888944
"","","","",1983,1978,"5",318965.386324104
"","","","",1983,1977,"6",55700.8568743493
"","","","",1984,1981,"3",0
"","","","",1984,1980,"4",35213.327541
"","","","",1984,1979,"5",289531.804226
"","","","",1984,1978,"6",66514.063133
"","","","",1984,1981,"3",0
"","","","",1984,1980,"4",0
"","","","",1984,1979,"5",0
"","","","",1984,1978,"6",0
"","","","",1985,1982,"3",0
"","","","",1985,1981,"4",203035.46928
"","","","",1985,1980,"5",323587.779165
"","","","",1985,1979,"6",114207.45147
"","","","",1985,1982,"3",0
"","","","",1985,1981,"4",0
"","","","",1985,1980,"5",0
"","","","",1985,1979,"6",0
"","","","",1986,1983,"3",0
"","","","",1986,1982,"4",38449.451062
"","","","",1986,1981,"5",213219.683162
"","","","",1986,1980,"6",97871.329976
"","","","",1986,1983,"3",0
"","","","",1986,1982,"4",0
"","","","",1986,1981,"5",0
"","","","",1986,1980,"6",0
"","","","",1987,1984,"3",0
"","","","",1987,1983,"4",0
"","","","",1987,1982,"5",0
"","","","",1987,1981,"6",0
"","","","",1987,1984,"3",0
"","","","",1987,1983,"4",59072.257455
"","","","",1987,1982,"5",291423.136778
"","","","",1987,1981,"6",43319.655467
"","","","",1988,1985,"3",0
"","","","",1988,1984,"4",0
"","","","",1988,1983,"5",0
"","","","",1988,1982,"6",0
"","","","",1988,1985,"3",0
"","","","",1988,1984,"4",41886.021827
"","","","",1988,1983,"5",264204.137678
"","","","",1988,1982,"6",16110.008395
"","","","",1989,1986,"3",0
"","","","",1989,1985,"4",36221.689692
"","","","",1989,1984,"5",86529.592042
"","","","",1989,1983,"6",78480.327666
"","","","",1989,1986,"3",0
"","","","",1989,1985,"4",0
"","","","",1989,1984,"5",0
"","","","",1989,1983,"6",0
"","","","",1990,1987,"3",0
"","","","",1990,1986,"4",62021.812442
"","","","",1990,1985,"5",221972.802424
"","","","",1990,1984,"6",42435.976934
"","","","",1990,1987,"3",0
"","","","",1990,1986,"4",0
"","","","",1990,1985,"5",0
"","","","",1990,1984,"6",0
"","","","",1991,1988,"3",0
"","","","",1991,1987,"4",0
"","","","",1991,1986,"5",0
"","","","",1991,1985,"6",0
"","","","",1991,1988,"3",0
"","","","",1991,1987,"4",378600.603538
"","","","",1991,1986,"5",386831.051441
"","","","",1991,1985,"6",57613.135321
"","","","",1992,1989,"3",0
"","","","",1992,1988,"4",0
"","","","",1992,1987,"5",0
"","","","",1992,1986,"6",0
"","","","",1992,1989,"3",0
"","","","",1992,1988,"4",812446.85984
"","","","",1992,1987,"5",923235.068
"","","","",1992,1986,"6",110788.20816
"","","","",1993,1990,"3",0
"","","","",1993,1989,"4",550859.81181
"","","","",1993,1988,"5",1001563.2942
"","","","",1993,1987,"6",116849.05099
"","","","",1993,1990,"3",0
"","","","",1993,1989,"4",0
"","","","",1993,1988,"5",0
"","","","",1993,1987,"6",0
"","","","",1994,1991,"3",0
"","","","",1994,1990,"4",61288.25703
"","","","",1994,1989,"5",332707.68102
"","","","",1994,1988,"6",43777.32645
"","","","",1994,1991,"3",0
"","","","",1994,1990,"4",0
"","","","",1994,1989,"5",0
"","","","",1994,1988,"6",0
"","","","",1995,1992,"3",0
"","","","",1995,1991,"4",0
"","","","",1995,1990,"5",0
"","","","",1995,1989,"6",0
"","","","",1995,1992,"3",0
"","","","",1995,1991,"4",456034.6328
"","","","",1995,1990,"5",392189.784208
"","","","",1995,1989,"6",63844.848592
"","","","",1996,1993,"3",0
"","","","",1996,1992,"4",0
"","","","",1996,1991,"5",0
"","","","",1996,1990,"6",0
"","","","",1996,1993,"3",0
"","","","",1996,1992,"4",63511.222635
"","","","",1996,1991,"5",789353.767035
"","","","",1996,1990,"6",54438.19083
"","","","",1997,1994,"3",0
"","","","",1997,1993,"4",183184.6554
"","","","",1997,1992,"5",323626.22454
"","","","",1997,1991,"6",97698.48288
"","","","",1997,1994,"3",0
"","","","",1997,1993,"4",0
"","","","",1997,1992,"5",0
"","","","",1997,1991,"6",0
"","","","",1998,1995,"3",0
"","","","",1998,1994,"4",103485.074704
"","","","",1998,1993,"5",319862.958176
"","","","",1998,1992,"6",42334.803288
"","","","",1998,1995,"3",0
"","","","",1998,1994,"4",0
"","","","",1998,1993,"5",0
"","","","",1998,1992,"6",0
"","","","",1999,1996,"3",0
"","","","",1999,1995,"4",238536.324309
"","","","",1999,1994,"5",492462.088896
"","","","",1999,1993,"6",46168.320834
"","","","",1999,1996,"3",0
"","","","",1999,1995,"4",0
"","","","",1999,1994,"5",0
"","","","",1999,1993,"6",0
"","","","",2000,1997,"3",0
"","","","",2000,1996,"4",0
"","","","",2000,1995,"5",0
"","","","",2000,1994,"6",0
"","","","",2000,1997,"3",0
"","","","",2000,1996,"4",98947.658323
"","","","",2000,1995,"5",215103.60505
"","","","",2000,1994,"6",116155.946727
"","","","",2001,1998,"3",0
"","","","",2001,1997,"4",0
"","","","",2001,1996,"5",0
"","","","",2001,1995,"6",0
"","","","",2001,1998,"3",0
"","","","",2001,1997,"4",120134.16478
"","","","",2001,1996,"5",171620.2354
"","","","",2001,1995,"6",137296.18832
"","","","",2002,1999,"3",0
"","","","",2002,1998,"4",519032.7821
"","","","",2002,1997,"5",575449.38885
"","","","",2002,1996,"6",33849.96405
"","","","",2002,1999,"3",0
"","","","",2002,1998,"4",0
"","","","",2002,1997,"5",0
"","","","",2002,1996,"6",0
"","","","",2003,2000,"3",0
"","","","",2003,1999,"4",172532.182557
"","","","",2003,1998,"5",550459.820539
"","","","",2003,1997,"6",98589.818604
"","","","",2003,2000,"3",0
"","","","",2003,1999,"4",0
"","","","",2003,1998,"5",0
"","","","",2003,1997,"6",0
"","","","",2004,2001,"3",0
"","","","",2004,2000,"4",0
"","","","",2004,1999,"5",0
"","","","",2004,1998,"6",0
"","","","",2004,2001,"3",0
"","","","",2004,2000,"4",184609.941208
"","","","",2004,1999,"5",435152.004276
"","","","",2004,1998,"6",32966.06093
"","","","",2005,2002,"3",0
"","","","",2005,2001,"4",0
"","","","",2005,2000,"5",0
"","","","",2005,1999,"6",0
"","","","",2005,2002,"3",0
"","","","",2005,2001,"4",68675.406719
"","","","",2005,2000,"5",274701.626876
"","","","",2005,1999,"6",60595.947105
"","","","",2006,2003,"3",0
"","","","",2006,2002,"4",76414.11561
"","","","",2006,2001,"5",237732.80412
"","","","",2006,2000,"6",110375.94477
"","","","",2006,2003,"3",0
"","","","",2006,2002,"4",0
"","","","",2006,2001,"5",0
"","","","",2006,2000,"6",0
"","","","",2007,2004,"3",0
"","","","",2007,2003,"4",20538.375045
"","","","",2007,2002,"5",283429.575621
"","","","",2007,2001,"6",106799.550234
"","","","",2007,2004,"3",0
"","","","",2007,2003,"4",0
"","","","",2007,2002,"5",0
"","","","",2007,2001,"6",0
"","","","",2008,2005,"3",0
"","","","",2008,2004,"4",0
"","","","",2008,2003,"5",0
"","","","",2008,2002,"6",0
"","","","",2008,2005,"3",0
"","","","",2008,2004,"4",65501.950848
"","","","",2008,2003,"5",180130.364832
"","","","",2008,2002,"6",27292.47952
"","","","",2009,2006,"3",0
"","","","",2009,2005,"4",0
"","","","",2009,2004,"5",0
"","","","",2009,2003,"6",0
"","","","",2009,2006,"3",0
"","","","",2009,2005,"4",44553.977127
"","","","",2009,2004,"5",307827.478332
"","","","",2009,2003,"6",52654.700241
"","","","",2010,2007,"3",8759.61606
"","","","",2010,2006,"4",70076.92848
"","","","",2010,2005,"5",198551.29736
"","","","",2010,2004,"6",17519.23212
"","","","",2010,2007,"3",0
"","","","",2010,2006,"4",0
"","","","",2010,2005,"5",0
"","","","",2010,2004,"6",0
"","","","",2011,2008,"3",3265.780386
"","","","",2011,2007,"4",104504.972352
"","","","",2011,2006,"5",189415.262388
"","","","",2011,2005,"6",29392.023474
"","","","",2011,2008,"3",0
"","","","",2011,2007,"4",0
"","","","",2011,2006,"5",0
"","","","",2011,2005,"6",0
"","","","",2012,2009,"3",16092.1326
"","","","",2012,2008,"4",51494.82432
"","","","",2012,2007,"5",199542.44424
"","","","",2012,2006,"6",57931.67736
"","","","",2012,2009,"3",0
"","","","",2012,2008,"4",0
"","","","",2012,2007,"5",0
"","","","",2012,2006,"6",0
"","","","",2013,2010,"3",0
"","","","",2013,2009,"4",0
"","","","",2013,2008,"5",0
"","","","",2013,2007,"6",0
"","","","",2013,2010,"3",8032.431602
"","","","",2013,2009,"4",132535.121433
"","","","",2013,2008,"5",212859.437453
"","","","",2013,2007,"6",48194.589612
"","","","",2014,2011,"3",0
"","","","",2014,2010,"4",0
"","","","",2014,2009,"5",0
"","","","",2014,2008,"6",0
"","","","",2014,2011,"3",26160.299811
"","","","",2014,2010,"4",72667.499475
"","","","",2014,2009,"5",154055.098887
"","","","",2014,2008,"6",37787.099727
"","","","",2015,2012,"3",4244.260697
"","","","",2015,2011,"4",169770.42788
"","","","",2015,2010,"5",174014.688577
"","","","",2015,2009,"6",76396.692546
"","","","",2015,2012,"3",0
"","","","",2015,2011,"4",0
"","","","",2015,2010,"5",0
"","","","",2015,2009,"6",0
"","","","",2016,2013,"3",7070.740516
"","","","",2016,2012,"4",37121.387709
"","","","",2016,2011,"5",109596.477998
"","","","",2016,2010,"6",24747.591806
"","","","",2016,2013,"3",0
"","","","",2016,2012,"4",0
"","","","",2016,2011,"5",0
"","","","",2016,2010,"6",0
"","","","",2017,2014,"3",0
"","","","",2017,2013,"4",0
"","","","",2017,2012,"5",0
"","","","",2017,2011,"6",0
"","","","",2017,2014,"3",13042.446739
"","","","",2017,2013,"4",48443.373602
"","","","",2017,2012,"5",87570.713819
"","","","",2017,2011,"6",37264.13354
"","","","",2018,2015,"3",0
"","","","",2018,2014,"4",0
"","","","",2018,2013,"5",0
"","","","",2018,2012,"6",0
"","","","",2018,2015,"3",0
"","","","",2018,2014,"4",0
"","","","",2018,2013,"5",0
"","","","",2018,2012,"6",0
"","","","",2019,2016,"3",0
"","","","",2019,2015,"4",0
"","","","",2019,2014,"5",0
"","","","",2019,2013,"6",0
"","","","",2019,2016,"3",0
"","","","",2019,2015,"4",0
"","","","",2019,2014,"5",0
"","","","",2019,2013,"6",0
"","","","",2020,2017,"3",0
"","","","",2020,2016,"4",0
"","","","",2020,2015,"5",0
"","","","",2020,2014,"6",0
"","","","",2020,2017,"3",0
"","","","",2020,2016,"4",0
"","","","",2020,2015,"5",0
"","","","",2020,2014,"6",0
"","","","",2021,2018,"3",0
"","","","",2021,2017,"4",0
"","","","",2021,2016,"5",0
"","","","",2021,2015,"6",0
"","","","",2021,2018,"3",0
"","","","",2021,2017,"4",0
"","","","",2021,2016,"5",0
"","","","",2021,2015,"6",0
"","","","",2022,2019,"3",0
"","","","",2022,2018,"4",0
"","","","",2022,2017,"5",0
"","","","",2022,2016,"6",0
"","","","",2022,2019,"3",0
"","","","",2022,2018,"4",0
"","","","",2022,2017,"5",0
"","","","",2022,2016,"6",0
"","","","",2023,2020,"3",0
"","","","",2023,2019,"4",0
"","","","",2023,2018,"5",0
"","","","",2023,2017,"6",0
