"","Year","Species Name","Escapement","CDN Harvest","Total Harvest","TRTC","Total Run","SEAK Harvest","SEAK ER","CDN ER","Total ER"
"1",2018,"Allspp",581400,126300,222400,697159,803800,96100,0.119557103757154,0.157128638964917,0.27668574272207
"2",2018,"Chinook",16400,5300,7400,10641,23800,2100,0.0882352941176471,0.222689075630252,0.310924369747899
"3",2018,"Chum",46000,1000,4000,47064,50000,3000,0.06,0.02,0.08
"4",2018,"Coho",72000,17000,76000,89620,148000,59000,0.398648648648649,0.114864864864865,0.513513513513513
"5",2018,"Pink (even years)",223000,33000,43000,255834,266000,10000,0.037593984962406,0.12406015037594,0.161654135338346
"6",2018,"Sockeye",224000,70000,92000,294000,316000,22000,0.069620253164557,0.221518987341772,0.291139240506329
"7",2019,"Allspp",582610,125690,271690,708167,854300,146000,0.170900152171368,0.147126302235749,0.318026454407117
"8",2019,"Chinook",11900,8400,9400,20300,21300,1000,0.0469483568075117,0.394366197183099,0.44131455399061
"9",2019,"Chum",23710,290,4290,24558,28000,4000,0.142857142857143,0.0103571428571429,0.153214285714286
"10",2019,"Coho",143000,19000,94000,162668,237000,75000,0.316455696202532,0.080168776371308,0.39662447257384
"11",2019,"Pink (odd years)",160000,15000,30000,174641,190000,15000,0.0789473684210526,0.0789473684210526,0.157894736842105
"12",2019,"Sockeye",244000,83000,134000,326000,378000,51000,0.134920634920635,0.21957671957672,0.354497354497354
"13",2020,"Allspp",1162220,74780,274880,1239464,1437100,200100,0.139238744694176,0.052035348966669,0.191274093660845
"14",2020,"Chinook",14300,6700,7800,21100,22100,1100,0.0497737556561086,0.30316742081448,0.352941176470588
"15",2020,"Chum",101920,80,12080,102247,114000,12000,0.105263157894737,0.000701754385964912,0.105964912280702
"16",2020,"Coho",96000,11000,135000,107330,231000,124000,0.536796536796537,0.0476190476190476,0.584415584415584
"17",2020,"Pink (even years)",735000,8000,40000,743787,775000,32000,0.0412903225806452,0.0103225806451613,0.0516129032258065
"18",2020,"Sockeye",215000,49000,80000,265000,295000,31000,0.105084745762712,0.166101694915254,0.271186440677966
"19",2021,"Allspp",1207730,99670,487670,1306778,1695400,388000,0.228854547599387,0.058788486492863,0.28764303409225
"20",2021,"Chinook",12700,6700,7700,19400,20400,1000,0.0490196078431373,0.32843137254902,0.377450980392157
"21",2021,"Chum",119030,970,40970,119777,160000,40000,0.25,0.0060625,0.2560625
"22",2021,"Coho",181000,8000,193000,188814,374000,185000,0.494652406417112,0.0213903743315508,0.516042780748663
"23",2021,"Pink (odd years)",547000,20000,92000,566787,639000,72000,0.112676056338028,0.0312989045383412,0.143974960876369
"24",2021,"Sockeye",348000,64000,154000,412000,502000,90000,0.179282868525896,0.127490039840637,0.306772908366534
"25",2022,"Allspp",1351110,102890,502090,1454000,1853200,399200,0.215411180660479,0.0555201813080078,0.270931361968487
"26",2022,"Chinook",18300,4700,5900,23000,24200,1200,0.0495867768595041,0.194214876033058,0.243801652892562
"27",2022,"Chum",98490,510,19510,99000,118000,19000,0.161016949152542,0.00432203389830509,0.165338983050847
"28",2022,"Coho",178000,11000,220000,189000,398000,209000,0.525125628140704,0.0276381909547739,0.552763819095477
"29",2022,"Pink (even years)",467000,18000,53000,485000,520000,35000,0.0673076923076923,0.0346153846153846,0.101923076923077
"30",2022,"Sockeye",445000,75000,170000,520000,615000,95000,0.154471544715447,0.121951219512195,0.276422764227642
"31",2023,"Allspp",1159600,0,0,919000,1159600,0,0,0,0
"32",2023,"Chinook",23500,4200,5100,18000,28600,900,0.0314685314685315,0.146853146853147,0.178321678321678
"33",2023,"Chum",49630,370,18370,50000,68000,18000,0.264705882352941,0.00544117647058823,0.270147058823529
"34",2023,"Coho",291000,11000,231000,302000,522000,220000,0.421455938697318,0.0210727969348659,0.442528735632184
"35",2023,"Pink (odd years)",2882000,38000,361000,2920000,3243000,323000,0.0995991366019118,0.0117175454825779,0.11131668208449
"36",2023,"Sockeye",501000,79000,151000,580000,652000,72000,0.110429447852761,0.121165644171779,0.23159509202454
"37",2024,"Chinook",24000,0,0,25300,24000,0,0,0,0
"38",2024,"Chum",110000,0,0,97000,110000,0,0,0,0
"39",2024,"Coho",294000,0,0,166000,294000,0,0,0,0
"40",2024,"Pink (even years)",635000,0,0,583000,635000,0,0,0,0
"41",2024,"Sockeye",530000,0,0,440000,530000,0,0,0,0
"42",1954,"Coho",43445.0808160421,17552.5300243414,44125.7972087207,60997.6108403835,87570.8780247628,26573.2671843793,0.303448678188028,0.200437981441479,0.503886659629507
"43",1955,"Coho",178353.489665857,72057.7548367701,181148.009593696,250411.244502627,359501.499259553,109090.254756926,0.303448678188029,0.200437981441479,0.503886659629508
"44",1956,"Coho",102896.244037994,41571.7816365981,104508.467073286,144468.025674593,207404.71111128,62936.6854366879,0.303448678188029,0.200437981441479,0.503886659629508
"45",1957,"Coho",102896.244037994,41571.7816365981,104508.467073286,144468.025674593,207404.71111128,62936.6854366879,0.303448678188029,0.200437981441479,0.503886659629508
"46",1958,"Coho",102896.244037994,41571.7816365981,104508.467073286,144468.025674593,207404.71111128,62936.6854366879,0.303448678188029,0.200437981441479,0.503886659629508
"47",1959,"Coho",33454.5712978957,13516.1992135357,33978.7520489671,46970.7705114314,67433.3233468628,20462.5528354314,0.303448678188028,0.200437981441478,0.503886659629506
"48",1960,"Coho",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1961,"Coho",158783.633442415,64151.2097807605,161271.524364542,222934.843223175,320055.157806957,97120.3145837815,0.303448678188027,0.200437981441479,0.503886659629506
"50",1962,"Coho",90733.5048242369,36657.8341604345,92155.1567797384,127391.338984671,182888.661603975,55497.3226193039,0.303448678188029,0.200437981441479,0.503886659629508
"51",1963,"Coho",170125.321545444,57203.1755260804,143804.666304987,227328.497071525,313929.987850431,86601.4907789066,0.27586243471639,0.182216346764981,0.458078781481371
"52",1964,"Coho",79242.8290285567,43029.0318896304,108171.889329706,122271.860918187,187414.718358263,65142.8574400756,0.347586667742648,0.229592596923876,0.577179264666524
"53",1965,"Coho",231295.083299573,72218.3345018687,181551.695314681,303513.417801442,412846.778614254,109333.360812812,0.264827937327733,0.174927692894381,0.439755630222114
"54",1966,"Coho",127744.510216095,59780.1812596219,150283.073249528,187524.691475717,278027.583465623,90502.8919899061,0.325517672965339,0.215015289182677,0.540532962148016
"55",1967,"Coho",74229.2086931773,22328.935656524,56133.3372055187,96558.1443497013,130362.545898696,33804.4015489947,0.259310688633405,0.171283365959082,0.430594054592487
"56",1968,"Coho",107267.285008498,50197.5210534532,126192.955164495,157464.806061951,233460.240172992,75995.4341110418,0.32551767296534,0.215015289182677,0.540532962148018
"57",1969,"Coho",165770.253123947,55738.8212425444,140123.385027164,221509.074366491,305893.638151111,84384.5637846196,0.275862434716389,0.182216346764981,0.45807878148137
"58",1970,"Coho",92737.5782886289,40319.0888886214,101359.287662375,133056.66717725,194096.865951004,61040.1987737536,0.314483175576684,0.207726635312077,0.522209810888761
"59",1971,"Coho",115950.556579189,50411.2883221006,126730.350692838,166361.844901289,242680.907272027,76319.0623707374,0.314483175576682,0.207726635312078,0.52220981088876
"60",1972,"Coho",54976.7095421193,33448.2681613697,84086.5388536425,88424.977703489,139063.248395762,50638.2706922728,0.364138413825633,0.240525577729774,0.604663991555407
"61",1973,"Coho",61704.859781025,21526.6057828483,54116.3376475512,83231.4655638733,115821.197428576,32589.7318647029,0.281379683410717,0.18586067370028,0.467240357110998
"62",1974,"Coho",57766.1588561047,24209.8948993174,60861.9333674552,81976.0537554221,118628.09222356,36652.0384681378,0.308965926882356,0.204082308376778,0.513048235259134
"63",1975,"Coho",77703.1517356453,22514.3673165962,56599.4990532456,100217.519052241,134302.650788891,34085.1317366494,0.253793439939078,0.167639039023781,0.42143247896286
"64",1976,"Coho",82325.6046393073,23853.7158533297,59966.5248803907,106179.320492637,142292.129519698,36112.809027061,0.253793439939078,0.167639039023782,0.42143247896286
"65",1977,"Coho",75752.0772726706,35449.4522112353,89117.3715278632,111201.529483906,164869.448800534,53667.9193166279,0.325517672965339,0.215015289182677,0.540532962148015
"66",1978,"Coho",83106.3031965954,56810.4346916067,142817.344113056,139916.737888202,225923.647309651,86006.9094214493,0.380690159908618,0.251458558535673,0.632148718444292
"67",1979,"Coho",66122.3968706003,48948.8095089168,123053.784212502,115071.206379517,189176.181083102,74104.9747035852,0.391724657297274,0.258747212406272,0.650471869703546
"68",1980,"Coho",71924.7278574171,60230.0009877021,151413.887671963,132154.728845119,223338.61552938,91183.8866842609,0.408276403380255,0.269680193212172,0.677956596592427
"69",1981,"Coho",92595.5319979521,58546.1913041376,147180.911312885,151141.72330209,239776.443310837,88634.7200087474,0.369655662519961,0.244169904665074,0.613825567185035
