"","year","Stock","type","fish"
"1",1954,"Meziadin","TE",NA
"2",1954,"Meziadin","Total Run",NA
"3",1955,"Meziadin","TE",NA
"4",1955,"Meziadin","Total Run",NA
"5",1956,"Meziadin","TE",NA
"6",1956,"Meziadin","Total Run",NA
"7",1957,"Meziadin","TE",NA
"8",1957,"Meziadin","Total Run",NA
"9",1958,"Meziadin","TE",NA
"10",1958,"Meziadin","Total Run",NA
"11",1959,"Meziadin","TE",NA
"12",1959,"Meziadin","Total Run",NA
"13",1960,"Meziadin","TE",NA
"14",1960,"Meziadin","Total Run",NA
"15",1961,"Meziadin","TE",NA
"16",1961,"Meziadin","Total Run",NA
"17",1962,"Meziadin","TE",NA
"18",1962,"Meziadin","Total Run",NA
"19",1963,"Meziadin","TE",NA
"20",1963,"Meziadin","Total Run",NA
"21",1964,"Meziadin","TE",NA
"22",1964,"Meziadin","Total Run",NA
"23",1965,"Meziadin","TE",NA
"24",1965,"Meziadin","Total Run",NA
"25",1966,"Meziadin","TE",NA
"26",1966,"Meziadin","Total Run",NA
"27",1967,"Meziadin","TE",NA
"28",1967,"Meziadin","Total Run",NA
"29",1968,"Meziadin","TE",NA
"30",1968,"Meziadin","Total Run",NA
"31",1969,"Meziadin","TE",NA
"32",1969,"Meziadin","Total Run",NA
"33",1970,"Meziadin","TE",NA
"34",1970,"Meziadin","Total Run",NA
"35",1971,"Meziadin","TE",NA
"36",1971,"Meziadin","Total Run",NA
"37",1972,"Meziadin","TE",NA
"38",1972,"Meziadin","Total Run",NA
"39",1973,"Meziadin","TE",NA
"40",1973,"Meziadin","Total Run",NA
"41",1974,"Meziadin","TE",NA
"42",1974,"Meziadin","Total Run",NA
"43",1975,"Meziadin","TE",NA
"44",1975,"Meziadin","Total Run",NA
"45",1976,"Meziadin","TE",NA
"46",1976,"Meziadin","Total Run",NA
"47",1977,"Meziadin","TE",NA
"48",1977,"Meziadin","Total Run",NA
"49",1978,"Meziadin","TE",NA
"50",1978,"Meziadin","Total Run",NA
"51",1979,"Meziadin","TE",NA
"52",1979,"Meziadin","Total Run",NA
"53",1980,"Meziadin","TE",NA
"54",1980,"Meziadin","Total Run",NA
"55",1981,"Meziadin","TE",NA
"56",1981,"Meziadin","Total Run",NA
"57",1982,"Meziadin","TE",250000
"58",1982,"Meziadin","Total Run",682564.760239031
"59",1983,"Meziadin","TE",170000
"60",1983,"Meziadin","Total Run",507991.813763423
"61",1984,"Meziadin","TE",140000
"62",1984,"Meziadin","Total Run",391259.1949327
"63",1985,"Meziadin","TE",288663
"64",1985,"Meziadin","Total Run",634485.841485312
"65",1986,"Meziadin","TE",115543
"66",1986,"Meziadin","Total Run",349540.464242764
"67",1987,"Meziadin","TE",143989
"68",1987,"Meziadin","Total Run",393815.049652278
"69",1988,"Meziadin","TE",116984
"70",1988,"Meziadin","Total Run",322200.167928656
"71",1989,"Meziadin","TE",50000
"72",1989,"Meziadin","Total Run",201231.609372056
"73",1990,"Meziadin","TE",120954
"74",1990,"Meziadin","Total Run",326430.591838333
