year,TE,Total Run,Stock
1954,NA,NA,Meziadin
1955,NA,NA,Meziadin
1956,NA,NA,Meziadin
1957,NA,NA,Meziadin
1958,NA,NA,Meziadin
1959,NA,NA,Meziadin
1960,NA,NA,Meziadin
1961,NA,NA,Meziadin
1962,NA,NA,Meziadin
1963,NA,NA,Meziadin
1964,NA,NA,Meziadin
1965,NA,NA,Meziadin
1966,NA,NA,Meziadin
1967,NA,NA,Meziadin
1968,NA,NA,Meziadin
1969,NA,NA,Meziadin
1970,NA,NA,Meziadin
1971,NA,NA,Meziadin
1972,NA,NA,Meziadin
1973,NA,NA,Meziadin
1974,NA,NA,Meziadin
1975,NA,NA,Meziadin
1976,NA,NA,Meziadin
1977,NA,NA,Meziadin
1978,NA,NA,Meziadin
1979,NA,NA,Meziadin
1980,NA,NA,Meziadin
1981,NA,NA,Meziadin
1982,250000,682564.7602,Meziadin
1983,170000,507991.8138,Meziadin
1984,140000,391259.1949,Meziadin
1985,288663,634485.8415,Meziadin
1986,115543,349540.4642,Meziadin
1987,143989,393815.0497,Meziadin
1988,116984,322200.1679,Meziadin
1989,50000,201231.6094,Meziadin
1990,120954,326430.5918,Meziadin
1991,250000,823044.7903,Meziadin
1992,592118,1846470.136,Meziadin
1993,400000,1669272.157,Meziadin
1994,158010,437773.2645,Meziadin
1995,205853,912069.2656,Meziadin
1996,182082,907303.1805,Meziadin
1997,158687,610615.518,Meziadin
1998,163925,470386.7032,Meziadin
1999,180350,769472.0139,Meziadin
2000,137042,430207.2101,Meziadin
2001,116192,429050.5885,Meziadin
2002,332442,1128332.135,Meziadin
2003,196852,821581.8217,Meziadin
2004,140923,659321.2186,Meziadin
2005,142858,403972.9807,Meziadin
2006,146954,424522.8645,Meziadin
2007,104308,410767.5009,Meziadin
2008,150383,272924.7952,Meziadin
2009,168404,405036.1557,Meziadin
2010,159120,291987.202,Meziadin
2011,167524,326578.0386,Meziadin
2012,144923,321842.652,Meziadin
2013,170376,401621.5801,Meziadin
2014,144920,290669.9979,Meziadin
2015,185917,424426.0697,Meziadin
2016,109868,176768.5129,Meziadin
2017,119088,186320.6677,Meziadin
2018,95000,,Meziadin
2019,87998,,Meziadin
2020,122000,,Meziadin
2021,270788,,Meziadin
1960,NA,NA,Nass
1961,NA,NA,Nass
1962,NA,NA,Nass
1963,NA,NA,Nass
1964,NA,NA,Nass
1965,NA,NA,Nass
1966,NA,NA,Nass
1967,NA,NA,Nass
1968,NA,NA,Nass
1969,NA,NA,Nass
1970,NA,NA,Nass
1971,NA,NA,Nass
1972,NA,NA,Nass
1973,NA,NA,Nass
1974,NA,NA,Nass
1975,NA,NA,Nass
1976,NA,NA,Nass
1977,NA,NA,Nass
1978,NA,NA,Nass
1979,NA,NA,Nass
1980,NA,NA,Nass
1981,NA,NA,Nass
1982,350008,920757,Nass
1983,209432,615371,Nass
1984,201970,543032,Nass
1985,407042,841303,Nass
1986,213695,658881,Nass
1987,210166,562867,Nass
1988,155793,401140,Nass
1989,127418,586686,Nass
1990,177461,459623,Nass
1991,308716,958994,Nass
1992,672844,1960084,Nass
1993,538263,2150584,Nass
1994,310044,837138,Nass
1995,264689,1168730,Nass
1996,217909,1054397,Nass
1997,250460,994761,Nass
1998,266463,711783,Nass
1999,210959,842807,Nass
2000,204408,625983,Nass
2001,167258,583885,Nass
2002,405474,1403976,Nass
2003,263688,1174145,Nass
2004,215860,983988,Nass
2005,224562,666038,Nass
2006,250641,764570,Nass
2007,164745,601137,Nass
2008,218376,380631,Nass
2009,244900,574692,Nass
2010,229010,437691,Nass
2011,276700,555294,Nass
2012,203030,471489,Nass
2013,210120,501424,Nass
2014,260102,549423,Nass
2015,389508,869432,Nass
2016,276417,442420,Nass
2017,227908,362539,Nass
2018,224000,,Nass
2019,243000,,Nass
2020,215000,,Nass
2021,372000,,Nass
