"SpeciesId","Species Name","StatArea","Year","T_Idx_E","ExpFactor1","AdjSum","ExpFactor2","ObsE","ExpFactor3","TE","CDN Harvest","CDN ER","TRTC","Total Harvest","Total ER","Total Run","Q1","Q2","Q3"
"PKo","Pink (odd years)","02E",1955,23125,1.00851244945733,23321.8503937008,1.09645766828309,25571.4217027243,1.5,38357.1325540865,25600,0.400268101112115,63957.1325540865,25600,0.400268101112115,63957.1325540865,3.16666666666667,4.95779700358725,4.56013957002949
"PKo","Pink (odd years)","02E",1957,42025,1.05217584369449,44217.6898312611,1.09645766828309,48482.8250892496,1.5,72724.2376338744,127579,0.636929295337682,200303.237633874,127579,0.636929295337682,200303.237633874,3.16666666666667,4.75205739607512,4.56013957002949
"PKo","Pink (odd years)","02E",1959,140525,1.00851244945733,141721.211959991,1.09645766828309,155391.309611906,1.5,233086.96441786,4728,0.0198810029115432,237814.96441786,4728,0.0198810029115432,237814.96441786,3.16666666666667,4.95779700358725,4.56013957002949
"PKo","Pink (odd years)","02E",1961,24500,1.09597594819611,26851.4107308048,1.4784764718295,39699.1790009251,1.5,59548.7685013876,16252,0.214404158708529,75800.7685013876,16252,0.214404158708529,75800.7685013876,3.16666666666667,4.56214391221777,3.38185970170556
"PKo","Pink (odd years)","02E",1963,59250,1.00851244945733,59754.3626303469,1.4784764718295,88345.4192381358,1.5,132518.128857204,4,3.01836382685198e-05,132522.128857204,4,3.01836382685198e-05,132522.128857204,3.16666666666667,4.95779700358725,3.38185970170556
"PKo","Pink (odd years)","02E",1965,20000,1.24090075936109,24818.0151872218,1.4784764718295,36692.8515318146,1.5,55039.2772977219,216,0.00390912887535007,55255.2772977219,216,0.00390912887535007,55255.2772977219,3.16666666666667,4.02933108250686,3.38185970170556
"PKo","Pink (odd years)","02E",1967,55500,1.00851244945733,55972.4409448819,1.4784764718295,82753.937007874,1.5,124130.905511811,3360,0.0263548210479117,127490.905511811,3360,0.0263548210479117,127490.905511811,3.16666666666667,4.95779700358725,3.38185970170556
"PKo","Pink (odd years)","02E",1969,116500,1.04868333702146,122171.608763001,1.4784764718295,180627.849081655,1.5,270941.773622483,25732,0.0867350008253306,296673.773622483,25732,0.0867350008253306,296673.773622483,3.16666666666667,4.7678835197299,3.38185970170556
"PKo","Pink (odd years)","02E",1971,24550,1.00945378151261,24782.0903361345,1.39522199098162,34576.5174194678,1.5,51864.7761292017,740,0.0140671637530117,52604.7761292017,740,0.0140671637530117,52604.7761292017,3.16666666666667,4.9531737773153,3.58365911110835
"PKo","Pink (odd years)","02E",1973,33500,1.00156331422616,33552.3710265763,1.39522199098162,46813.0059058537,1.5,70219.5088587806,391,0.00553741937736196,70610.5088587806,391,0.00553741937736196,70610.5088587806,3.16666666666667,4.99219562955255,3.58365911110835
