"SpeciesId","Species Name","CU","CU Name","Year","T_Idx_E","ExpFactor1","AdjSum","ExpFactor2","ObsE","ExpFactor3","TE","CDN Harvest","CDN ER","TRTC","Total Harvest","Total ER","Total Run","Q1","Q2","Q3"
"SX","Sockeye","SX_L-15-01","Long",1960,18500,1,18500,1.00099104038835,18518.3342471845,1,18518.3342471845,219498.228619086,0.92219728734765,238016.56286627,219498.228619086,0.92219728734765,238016.56286627,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1961,22500,1,22500,1.00099104038835,22522.2984087379,1,22522.2984087379,213408.865470826,0.904538688156369,235931.163879564,213408.865470826,0.904538688156369,235931.163879564,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1962,110000,1,110000,1.00099104038835,110109.014442719,1,110109.014442719,252212.296561166,0.69610119223283,362321.311003884,252212.296561166,0.69610119223283,362321.311003884,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1963,68687,1,68687,1.00099104038835,68755.0715911547,1,68755.0715911547,175111.713998137,0.718062993182891,243866.785589292,175111.713998137,0.718062993182891,243866.785589292,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1964,50000,1,50000,1.00099104038835,50049.5520194175,1,50049.5520194175,236567.656044211,0.82537841200272,286617.208063628,236567.656044211,0.82537841200272,286617.208063628,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1965,11000,1,11000,1.00099104038835,11010.9014442719,1,11010.9014442719,289985.158469332,0.963418453226822,300996.059913604,289985.158469332,0.963418453226822,300996.059913604,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1966,50000,1,50000,1.00099104038835,50049.5520194175,1,50049.5520194175,172362.195442202,0.77496893671026,222411.74746162,172362.195442202,0.77496893671026,222411.74746162,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1967,50000,1,50000,1.00099104038835,50049.5520194175,1,50049.5520194175,297457.285316391,0.855975345972681,347506.837335808,297457.285316391,0.855975345972681,347506.837335808,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1968,197929,1,197929,1.00099104038835,198125.155633026,1,198125.155633026,472249.823033835,0.704456219372885,670374.978666861,472249.823033835,0.704456219372885,670374.978666861,4,5,4.99504970400151
"SX","Sockeye","SX_L-15-01","Long",1969,110000,1,110000,1.00099104038835,110109.014442719,1,110109.014442719,169020.349744669,0.605526939943162,279129.364187388,169020.349744669,0.605526939943162,279129.364187388,4,5,4.99504970400151
