"SpeciesId","Species Name","StatArea","Year","T_Idx_E","ExpFactor1","AdjSum","ExpFactor2","ObsE","ExpFactor3","TE","CDN Harvest","CDN ER","TRTC","Total Harvest","Total ER","Total Run","Q1","Q2","Q3"
"SX","Sockeye","01",1960,11000,1.09345794392523,12028.0373831776,1.12995490883584,13591.1398847825,2,27182.279769565,6795.56994239124,0.2,33977.8497119562,6795.56994239123,0.2,33977.8497119562,2.33333333333333,4.57264957264957,4.42495533308613
"SX","Sockeye","01",1961,11400,1,11400,1.12995490883584,12881.4859607286,2,25762.9719214571,6440.74298036428,0.2,32203.7149018214,6440.74298036428,0.2,32203.7149018214,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1962,31500,1,31500,1.12995490883584,35593.5796283289,2,71187.1592566579,17796.7898141645,0.2,88983.9490708223,17796.7898141645,0.2,88983.9490708223,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1963,11750,1,11750,1.12995490883584,13276.9701788211,2,26553.9403576422,6638.48508941055,0.2,33192.4254470528,6638.48508941055,0.2,33192.4254470528,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1964,24000,1,24000,1.12995490883584,27118.9178120601,2,54237.8356241203,13559.4589060301,0.2,67797.2945301503,13559.4589060301,0.2,67797.2945301503,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1965,9400,1,9400,1.12995490883584,10621.5761430569,2,21243.1522861138,5310.78807152844,0.2,26553.9403576422,5310.78807152844,0.2,26553.9403576422,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1966,4650,1,4650,1.12995490883584,5254.29032608665,2,10508.5806521733,2627.14516304333,0.2,13135.7258152166,2627.14516304333,0.2,13135.7258152166,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1967,8100,1,8100,1.12995490883584,9152.6347615703,2,18305.2695231406,4576.31738078515,0.2,22881.5869039257,4576.31738078515,0.2,22881.5869039257,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1968,18900,1,18900,1.12995490883584,21356.1477769974,2,42712.2955539947,10678.0738884987,0.2,53390.3694424934,10678.0738884987,0.2,53390.3694424934,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1969,37500,1,37500,1.12995490883584,42373.309081344,2,84746.6181626879,21186.654540672,0.2,105933.27270336,21186.654540672,0.2,105933.27270336,2.33333333333333,5,4.42495533308613
"SX","Sockeye","01",1970,25750,1.05903866248694,27270.2455590387,1.12995490883584,30814.1478345945,2,61628.295669189,15407.0739172972,0.2,77035.3695864862,15407.0739172972,0.2,77035.3695864862,2.33333333333333,4.72126295017267,4.42495533308613
